1	1.54623826	1.87207928	0.00446371	1.99509615	-0.95149162	1.95149162
2	-0.05665282	1.47883419	0.50561158	1.49539055	-0.64734229	1.64734229
3	0.96709811	1.79370645	0.10380699	1.88644822	-0.84823471	1.84823471
4	1.04662172	1.80845026	0.10666896	1.88334568	-0.83289366	1.83289366
5	0.10106934	1.53769180	0.46560296	1.52887357	-0.62880392	1.62880392
6	0.01524002	1.50569815	0.49891223	1.50089681	-0.56745089	1.56745089
7	-0.88886001	1.22226375	0.88309160	1.25121869	-0.20287449	1.20287449
8	-1.29996884	1.15367225	1.01956811	1.19239281	-0.09544380	1.09544380
9	-1.88163263	1.10545275	1.35407313	1.09711757	-0.03382595	1.03382595
10	-2.15687891	1.09428663	1.42027798	1.08452531	-0.03306450	1.03306450
11	-2.70432260	1.08291354	1.75768592	1.04118460	-0.00466731	1.00466731
12	-1.99751702	1.10012378	1.46722390	1.07655819	-0.00000000	1.00000000
